Date	Time	Open	High	Low	Close	Volume
15/03/2024	00:00:00	2.8516	2.8697	2.8011	2.8337	2673020
15/03/2024	01:00:00	2.8331	2.8442	2.7381	2.7476	2925496
15/03/2024	02:00:00	2.7476	2.7585	2.582	2.6642	7361835
15/03/2024	03:00:00	2.6616	2.7	2.4783	2.624	7682904
15/03/2024	04:00:00	2.6241	2.6313	2.5179	2.5528	5754447
15/03/2024	05:00:00	2.5528	2.6112	2.536	2.5681	3696396
15/03/2024	06:00:00	2.5679	2.6831	2.5679	2.6797	3886801
15/03/2024	07:00:00	2.6799	2.6803	2.6122	2.6257	1769930
15/03/2024	08:00:00	2.6258	2.6307	2.4666	2.4693	5460029
15/03/2024	09:00:00	2.4693	2.5919	2.3535	2.5833	8891049
15/03/2024	10:00:00	2.5831	2.6833	2.5667	2.6183	4816120
15/03/2024	11:00:00	2.6195	2.7755	2.5437	2.7424	7055015
15/03/2024	12:00:00	2.7424	2.8	2.7198	2.7748	5468362
15/03/2024	13:00:00	2.7749	2.8462	2.7185	2.8265	3682653
15/03/2024	14:00:00	2.8263	2.8332	2.7419	2.7949	2902421
15/03/2024	15:00:00	2.7949	2.8019	2.6948	2.6979	2669745
15/03/2024	16:00:00	2.6983	2.7869	2.6817	2.7482	3265917
15/03/2024	17:00:00	2.7484	2.8133	2.7277	2.7923	2122740
15/03/2024	18:00:00	2.7918	2.8343	2.7338	2.8284	2570584
15/03/2024	19:00:00	2.8286	2.8439	2.7093	2.7324	3262282
15/03/2024	20:00:00	2.7326	2.7422	2.6422	2.6607	3312669
15/03/2024	21:00:00	2.6614	2.6999	2.6532	2.6777	1265734
15/03/2024	22:00:00	2.6789	2.7007	2.6264	2.6933	1789394
15/03/2024	23:00:00	2.6935	2.6957	2.661	2.6836	1566521
16/03/2024	00:00:00	2.6836	2.69	2.6588	2.6623	2051617
