Date	Time	Open	High	Low	Close	Volume
15/02/2024	00:00:00	3.14	3.2	3.135	3.199	302591.3
15/02/2024	00:30:00	3.198	3.227	3.15	3.159	821518.9
15/02/2024	01:00:00	3.158	3.169	3.113	3.155	478685.8
15/02/2024	01:30:00	3.155	3.156	3.117	3.133	256493.7
15/02/2024	02:00:00	3.133	3.166	3.117	3.127	302645.9
15/02/2024	02:30:00	3.128	3.129	3.088	3.094	241010.1
15/02/2024	03:00:00	3.094	3.11	3.074	3.079	245066.4
15/02/2024	03:30:00	3.079	3.138	3.077	3.132	249039.1
15/02/2024	04:00:00	3.132	3.144	3.118	3.132	169320.3
15/02/2024	04:30:00	3.133	3.142	3.109	3.121	122746.9
15/02/2024	05:00:00	3.119	3.139	3.113	3.128	129036.8
15/02/2024	05:30:00	3.128	3.129	3.06	3.101	248171.4
15/02/2024	06:00:00	3.101	3.133	3.098	3.13	109192.4
15/02/2024	06:30:00	3.129	3.132	3.084	3.085	93435.4
15/02/2024	07:00:00	3.083	3.111	3.08	3.101	80543.1
15/02/2024	07:30:00	3.101	3.112	3.07	3.087	151109.2
15/02/2024	08:00:00	3.088	3.131	3.07	3.127	266419.0
15/02/2024	08:30:00	3.128	3.207	3.111	3.201	635591.7
15/02/2024	09:00:00	3.204	3.249	3.182	3.221	573929.3
15/02/2024	09:30:00	3.221	3.223	3.178	3.197	280413.3
15/02/2024	10:00:00	3.197	3.226	3.185	3.21	289916.4
15/02/2024	10:30:00	3.211	3.272	3.203	3.27	396729.2
15/02/2024	11:00:00	3.271	3.276	3.236	3.245	280834.6
15/02/2024	11:30:00	3.245	3.292	3.223	3.277	362371.7
15/02/2024	12:00:00	3.277	3.288	3.212	3.243	376479.6
15/02/2024	12:30:00	3.242	3.243	3.19	3.201	273253.8
15/02/2024	13:00:00	3.2	3.211	3.154	3.166	225052.4
15/02/2024	13:30:00	3.167	3.189	3.151	3.175	149297.0
15/02/2024	14:00:00	3.174	3.217	3.166	3.21	152183.2
15/02/2024	14:30:00	3.208	3.239	3.195	3.21	370142.6
15/02/2024	15:00:00	3.211	3.217	3.172	3.18	154698.3
15/02/2024	15:30:00	3.18	3.185	3.105	3.125	386293.4
15/02/2024	16:00:00	3.125	3.146	3.082	3.12	363108.9
15/02/2024	16:30:00	3.12	3.133	3.083	3.094	205779.7
15/02/2024	17:00:00	3.095	3.122	3.09	3.106	148536.8
15/02/2024	17:30:00	3.106	3.119	3.096	3.108	117626.9
15/02/2024	18:00:00	3.109	3.182	3.108	3.129	259862.1
15/02/2024	18:30:00	3.13	3.217	3.121	3.217	281752.9
15/02/2024	19:00:00	3.217	3.24	3.191	3.215	383751.4
15/02/2024	19:30:00	3.215	3.284	3.205	3.273	272702.6
15/02/2024	20:00:00	3.273	3.298	3.224	3.264	405537.0
15/02/2024	20:30:00	3.264	3.297	3.255	3.26	282513.8
15/02/2024	21:00:00	3.259	3.31	3.257	3.267	355192.0
15/02/2024	21:30:00	3.267	3.277	3.191	3.207	356799.3
15/02/2024	22:00:00	3.206	3.247	3.188	3.238	198962.3
15/02/2024	22:30:00	3.237	3.262	3.217	3.225	79176.9
15/02/2024	23:00:00	3.225	3.327	3.218	3.321	303300.3
15/02/2024	23:30:00	3.321	3.5	3.306	3.463	1031393.7
16/02/2024	00:00:00	3.464	3.491	3.384	3.39	497119.8
